financeStage,companyShortName,createTime,positionName,education,city,salary,industryField,district,positionAdvantage,companyLabelList,jobNature,workYear,positionLables,industryLables,companySize,businessZones,firstType,companyFullName,jobdescription
﻿成熟型(C轮),巴图鲁公司,2017-10-11 15:20:23,数据分析师,本科,广州,6k-12k,电子商务,白云区,"弹性上班制,技术杠杠,氛围轻松,扁平管理技能培训,节日礼物,年底双薪,带薪年假",全职,1-3年,"高级,专员,商业,业务运营,sas", ,150-500人,白云大道机场路,产品/需求/项目类,广州市巴图鲁信息科技有限公司,
成熟型(不需要融资),中移在线服务有限公司,2017-10-11 15:29:06,数据分析,本科,上海,15k-25k,移动互联网,普陀区,"五险一金,带薪年假,企业年金,通话餐补 ",全职,3-5年,数据挖掘, ,2000人以上, ,产品/需求/项目类,中移在线服务有限公司,1、负责业务数据统计、报表维护与监测，保证数据的业务针对性、逻辑性、准确性及可读性	2、基于业务需求，规划分析思路，完成从数据提取、数据清洗、数据分析和报告产出的整个流程，为业务问题原因排查及解决方案提供数据支撑	3、在深入理解业务基础上，结合业务目标和问题，构建分析模型，为数据化运营提供系统化的解决方案	4、主动分析并研究业务数据，基于数据分析结果，为管理层和业务部门提供商业策略分析和业务优化建议	5、基于业务分析经验，将关键分析思路进行产品化。	教育：全日制大学本科及以上学历；	知识：统计学、数学、计算机信息类、数据挖掘等相关专业。	技能：对数据敏感， 具有缜密的逻辑思维能力及优秀的书面总结及口头表达能力；责任心强，细致认真，能承受较强的工作压力，热爱数据分析工作；熟练使用Excel、PPT、数据分析软件R/python、SQL，有较好的文字、数据、图表呈现能力；熟悉自然语言处理与文本挖掘相关技术，并能进行文本处理、抽取，词向量计算，文本建模（文本分类、聚类、相似度计算、语义分析等）。	经验：熟悉常用数据挖掘算法（如分类、聚类、回归、svm、神经网络等）及其原理，并具备相关项目经验。	
成熟型(C轮),INK 银客集团,2017-10-11 11:04:49,数据分析师,本科,北京,15k-30k,"移动互联网,金融",海淀区,"六险一金,16薪考核,弹性工作,高速成长股票期权,16薪,扁平化管理,免费两餐",全职,3-5年,"金融,数据挖掘,SPSS",金融数据挖掘SPSS,500-2000人,西三旗清河,产品/需求/项目类,银客未来科技（北京）有限公司,"1.持续跟踪业务数据，监测业务发展态势，为业务指标异常提供预警、监测和解读； 	 2.密切关注风控指标，基于业务数据，参与制定风控策略，提出改进方案，评价策略及模型效果，出具分析报告； 	 3.基于业务逻辑，建立业务数据模型，为团队提供反映风控和运营状况的数据报表； 	 4.跟踪和分析风控数据，构建用户信用和行为模型，发现潜在风险； 	 5.支持数据提取及分析需求，评价数据质量，开发数据特征； 	  职位要求:	 1.有互联网行业或金融行业风控政策制定、模型开发、数据分析、商业分析、商业智能等工作经验； 	 2.熟悉hive数据库，熟练使用SQL、Excel等工具，熟练掌握Python或R、SAS建模，有实际操作的建模案例； 	 3.有评分卡，信用模型，策略分析经验优先 	 4.对数据敏感，有风险意识，团队合作意识，较强的逻辑分析能力；较强的沟通能力、口头和书面表达能力； 	 5.本科及以上学历，统计、计量、数学、计算机等相关专业优先。	YES, WE WANT YOU！	英雄不问出处，也许，你来自计算机专业、数学专业；或者，你来自通信专业、自动化专业；甚至有可能你来自化学专业、市场管理专业。但你却天生有着对数据的敏感，你能用敏锐的目光洞察到数据海洋中的一丝波澜。	加入我们，你可以搭建业务监控指标体系，构建数据产品；	加入我们，你可以对异动指标分析或深度的专题分析定位问题并寻求解决方案 ；	加入我们，你可以为整个团队提供专题分析、数据分析与挖掘、模型及算法等相关服务 ；	加入我们，你可以通过数据结论为管理层直接提供决策建议，你会发现公司的命运与你息息相关，你是真正的主人 。	快来加入我们吧，你会接触到来自业界顶尖的数据大牛，成长速度超乎想象，我们不断的奋勇向前，在互联网的浪潮里乘风破浪。	完成C轮融资的银客集团，在互联网金融的塔尖上，等着你的到来，为我们共同的梦想，奋战！	"
成熟型(C轮),英语流利说,2017-09-30 16:32:28,数据分析师,本科,上海,15k-30k,"移动互联网,教育",杨浦区,"N+1奖金,硅谷系,私厨三餐,顶尖团队弹性工作,五险一金,年度旅游,年底双薪",全职,不限,"高级,大数据,数据挖掘,R", ,500-2000人,周家嘴路和平公园,开发/测试/运维类,上海流利说信息技术有限公司,"职位描述：	- 通过指标的设计、计算、监控和评估，支持产品决策；	- 对数据仓库的数据质量保持敏感，并进行分析、监控，发现潜在的问题；	- 支持运营部门的运营活动数据分析；	- 深入分析用户的行为路径等相关问题，发现 insights，通过报告提出建议；	基本要求：	- 一年以上相关工作经验	- 计算机、统计、数学或工程类相关专业本科及以上学历。	- 了解互联网的数据运营与产品决策过程，了解指标的设计和计算；有 SQL 查询经验。	- 了解 WEB/APP 埋点，有漏斗、行为路径分析经验；了解 GA/Umeng/Growing IO 等第三方工具原理。	- 结果导向；能独立承担复杂的分析项目，提供有价值的结论和可执行的建议。	加分项：	- 熟悉 Shell, 有基本的存储过程或 ETL 工程调度经验。	- 熟悉 Git，有良好的项目组织和代码整理习惯。	- 熟悉 Hive/Spark，了解大数据工具与传统 DB 性能调优的差异。	- 熟悉 R dplyr/ggplot2，或者 Python pandas/seaborn，进行有效的可视化分析。	- 熟悉基本的数理统计概念，随机误差分析；熟悉基本的分类、回归机器学习方法。	"
成熟型(D轮及以上),拉勾网,2017-10-06 14:23:19,数据分析师,本科,北京,15k-20k,"企业服务,招聘",海淀区,"发展空间、免费午晚餐五险一金,弹性工作,带薪年假,免费两餐",全职,3-5年,Tableau, ,150-500人,苏州街中关村万泉河,产品/需求/项目类,北京拉勾网络技术有限公司,一、岗位职责：	1，收集和挖掘各业务线的数据需求，针对不同业务场景，与业务协作提炼出核心指标和分析框架，并呈现、跟踪、分析；能通过常规数据分析方法发现业务数据存在的异常、趋势、特点、可优化点等，通过数据描绘出整个业务流程、用户行为和重点环节的转化，帮助业务方更深刻的理解、使用和运营数据；	3，能主动向业务方输入自己的观点，提升业务方使用数据的频率；对业务进行常规报表解读、数据可视化工具使用的培训；                                          	二、岗位要求：	1，本科及以上学历，2年以上数据分析工作经验，统计、数学、计算机相关专业优先 ；	2，良好的数据敏感度，了解大数据相关的基础知识，熟悉常见的数据分析和处理方法，有数据质量控制意识；熟练使用MYSQL和tableau；	5，对人力资源行业、互联网行业有一定了解；	
成熟型(C轮),今日头条,2017-10-11 20:02:49,数据分析师,本科,北京,15k-30k,"移动互联网,数据服务",海淀区,"六险一金，弹性工作，免费三餐，租房补贴，带薪休假，扁平管理，职业大牛，晋升空间，团队氛围好，优厚薪资扁平管理,弹性工作,大厨定制三餐,就近租房补贴",全职,3-5年,产品, ,500-2000人, ,运营/编辑/客服,北京字节跳动科技有限公司,
成熟型(C轮),杏树林,2017-10-11 19:55:04,数据分析师,大专,北京,10k-20k,"移动互联网,医疗健康",东城区,"氛围好,追求卓越,免费三餐,免费下午茶A类人才,股票期权,带薪年假,年度旅游",全职,1-3年,"医疗健康,运营,大数据",医疗健康运营大数据,150-500人,广渠门,开发/测试/运维类,杏树林信息技术（北京）有限公司,工作职责：	1.      主动发掘数据价值，支持产品运营优化策略。通过数据分析，发现数据异常变动原因	2.      对现有工作进行梳理，负责三款app的产品及运营的功能评估和活动评估，帮助产品、运营找到可优化的点，并做可行性验证	3.      将文本数据进行结构化、标准化，建设医疗数据平台	
成熟型(C轮),乐纯酸奶,2017-10-11 16:42:56,数据分析师,本科,北京,15k-25k,"O2O,生活服务",朝阳区,"扁平化 氛围好 七险一金 工作餐 空间大七险一金,免费午晚餐,电影票、奶票,扁平管理",全职,3-5年,"金融,大数据,BI,业务运营,sas",金融大数据BI业务运营sas,150-500人,双井,产品/需求/项目类,北京乐纯悠品商贸有限公司,岗位职责：	1. 极强数据分析能力：提出业务假设，进行数据分析，验证假设，得到结论，将结论给业务负责人以指导。	2. 极强商业洞察能力：在日常业务分析过程中，主动发现数据研究主题，自主设立数据项目。	3. 数据分析类型包括但不限于：ERP业务数据分析，微信天猫京东等流量纬度分析，品类生意数据分析，用户定性和定量调研，问卷，访谈等。	4. 能将自己的数据结论去影响业务负责人的较强影响力。	任职要求：	1.本科以上学历，三年及以上工作经验，金融、经济、计算机、数学、统计等相关专业，背景综合者优先；	2.熟练使用Office办公软件，掌握SQL、Mysql等语言，能够进行数据库查询；	3.具备良好的逻辑分析能力，独立思考能力，对数据与业务有足够的敏感性；	4.具有良好的沟通能力、团队合作精神，有较强的责任心与进取心。	
成长型(B轮),木仓科技,2017-10-11 16:55:52,数据分析员,本科,北京,13k-18k,移动互联网,海淀区,"五险一金，周末双休，带薪年假，扁平管理股票期权,年底双薪,五险一金,带薪年假",全职,1-3年, , ,150-500人, ,产品/需求/项目类,北京木仓科技有限公司,
上市公司,亿阳信通,2017-10-11 10:05:59,数据分析师,本科,北京,8k-10k,"移动互联网,数据服务",西城区,"运营商工作经历技能培训,节日礼物,专项奖金,带薪年假",全职,1-3年,"大数据,SQL,数据管理", ,2000人以上,广安门西便门西客站,开发/测试/运维类,亿阳信通股份有限公司北京分公司,技能要求    	1、有数据统计分析、数据挖掘、运营分析类项目经验    	2、熟练使用EXCEL或其他工具，能处理百万级数据；    	3、了解GP数据库，能编写SQL语句提取数据；    	4、了解家宽业务、装机拆机移机投诉工单流程、家宽装维管理等；    	5、思路清晰、表达准确，交流沟通不怯场    	6、认真细心，对数据敏感，对提交的工作结果能多角度验证确保正确、能发现异常数据并分析确认原因    	工作内容    	1、集团驻场进行家宽运营分析、数据提取、报告编写；    	2、需求整理、编写需求文档，需求上线后检查验证    	
成长型(A轮),数美,2017-10-11 15:42:17,数据分析师,本科,北京,15k-25k,"企业服务,数据服务",朝阳区,"大牛如云,技术氛围,大牛云集,待遇给力年底双薪,大数据,带薪年假,通讯津贴",全职,1-3年,"大数据,数据挖掘", ,150-500人,望京来广营,开发/测试/运维类,北京数美时代科技有限公司,360、小米、百度等顶级互联网公司联合投资，顶级大数据公司	【岗位职责】	任职条件	公司福利待遇：	有竞争力的薪酬	期权奖励	五险一金+商业保险	午餐+晚餐补助	交通+通讯+电脑补贴	结婚+生育+丧葬+住院礼金	伯乐奖金	年假8天起+带薪病假	年度体检、零食畅享、团队建设、生日会、弹性办公	数美领先的大数据技术、产品与服务提供商	我们正在经历一个IT到DT的变革时代。大数据已经渗透到各个环节，各个角落。	这个世界，就是掩藏在表象之下，被数据所揭示的世界！	数美依托积累的海量数据、科技前沿技术， 极致的工匠精神和对数据的深度理解，提供领先的大数据产品与服务。 	我们正在寻找不平凡的你，和我们一起“发现数据之美”	欢迎投递简历	【关于数美】www.ishumei.com	   	…………………………………………………………………………	了解更多	数美公司介绍	
成熟型(D轮及以上),灵思云途,2017-10-11 14:33:23,数据分析师,不限,北京,15k-30k,"数据服务,广告营销",朝阳区,"待遇好节日礼物,免费班车,带薪年假,岗位晋升",全职,1-3年,"电商,数据挖掘,SQL",电商数据挖掘SQL,500-2000人, ,开发/测试/运维类,灵思云途营销顾问股份有限公司,
成长型(不需要融资),钱塘大数据,2017-10-11 09:55:48,数据分析师,本科,杭州,8k-15k,"移动互联网,数据服务",萧山区,"数据分析定期体检,专项奖金,带薪年假,生日趴",全职,1-3年,"电商,大数据",电商大数据,50-150人, ,开发/测试/运维类,杭州钱塘大数据交易中心有限公司,1、基于海量数据进行分析，洞察数据价值，参与业务分析、设计自动化可视报表、提高出报表效率	2、分析产品不同模块、不同版本的数据变化及趋势	   	3、研究行业动态，负责数据商业化的研究及实践；	1、掌握基本的统计学及基础数据挖掘模型，有较好的文字功底；	2、掌握数据分析语言/工具（python、R、sas、matlab）至少一种	3、具备良好的产品设计和规划能力，能独立主导一个产品方向，制定规划，并推进实施	4、有丰富的数据产品经验，熟悉数据可视化工具及方法；	5、对数据敏感，能从大数据中洞察价值，具备敏锐的商业嗅觉。	6．有产业经济研究和电子商务经验者优先。	7、另招实习生3-6名。	   	
上市公司,宜信,2017-10-11 10:28:57,数据分析师,本科,上海,15k-25k,金融,浦东新区,"六险一金,优势团队,弹性工作管理规范,技能培训,扁平管理,弹性工作",全职,3-5年,"金融,高级,中级,大数据,建模",金融高级中级大数据建模,2000人以上, ,开发/测试/运维类,普信恒业科技发展（北京）有限公司,"岗位职责：	1. 根据业务场景，建立数据指标体系，持续跟踪，了解业务发展，并及时发现潜在问题；	2. 深刻理解数据结构，独立从数据平台提取数据，支持业务和模型需求；	3. 根据客户行为相关数据，选择合适的数据模型，挖掘客户属性及特征，形成客户细分，丰富客户画像；	4. 和业务部门合作，发现CRM项目实施机会，将数据模型或分析结果转化为可执行的方案策略，配合业务部门共同实施；	5. 设计合理的测试方案（包括使用测试/对照组，冠军/挑战者策略，营销活动设计等)，形成可量化的测试结果；	6. 总结测试结果，完成数据报告；	 	岗位要求：	1. 2+年数据分析工作经验，互联网及金融行业优先；	2. 本科及以上学历，数学、统计、计算机等相关专业；	3. 熟悉Mysql等关系型数据库，精通SQL语言；有HIVE使用经验优先；	4. 至少精通1门数据分析软件，包括SAS/R/Python等,会爬虫优先；	5. 扎实的统计学基础，了解常用数据模型算法，有数据建模经验优先；	6. 优秀的分析能力和逻辑思维能力；	"
成长型(A轮),同牛科技,2017-10-11 11:05:53,数据分析师,本科,北京,6k-10k,金融,东城区,"五险一金,带薪年假,年度体检,年终奖六险一金,年底多薪,股票期权,午餐补助",全职,3-5年,"金融,数据挖掘,SPSS,sas",金融数据挖掘SPSSsas,150-500人, ,开发/测试/运维类,浙江同牛网络科技有限公司,"岗位职责：	1、负责建立公司信贷交易的核心业务指标体系，为公司战略决策提供支持；	2、负责专题分析，通过对海量数据的深入分析，建模，挖掘，定期提供有价值的业务洞察和剖析报告；	3、通过对业务的了解，利用数据分析，建立业务数据模型，为产品部门提供反映产品和运营状况的数据报表；	4、负责BI报表平台的产品管理，推动公司数据挖掘、商业智能应用的分析研究、设计和开发。	任职要求：	1、2年以上数据分析相关工作经验,应用数学、金融数学、统计、金融、计算机等相关专业；	2、熟悉分类、回归分析、聚类、关联规则等数据统计模型，具有一定的建模实践经验；	3、熟练使用EXCEL常用函数及控件，熟练运用SQL、R、Python等，有BI软件使用经验优先；	4、严谨的逻辑思维、数理逻辑分析能力强,敏锐的商业感觉，能制定出清晰的策略；	5、具备良好的信息理解能力和沟通技巧，具备一定的抗压能力和团队合作能力。	"
